City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,santa maria,-29.6842,-53.8069,24.61,88,0,5.14,BR,1707273391
247,mufulira,-12.5498,28.2407,16.42,97,84,1.25,ZM,1707273391
248,cozumel,20.5083,-86.9458,21.71,79,20,7.72,MX,1707273391
249,rostov,57.1914,39.4139,-28.09,100,100,1.65,RU,1707273391
250,mutuali,-14.8706,37.0044,21.16,96,100,0.21,MZ,1707273391
251,colonia,50.9333,6.95,11.65,82,100,6.69,DE,1707273380
252,enewetak,11.3474,162.3373,26.6,82,99,7.23,MH,1707273391
253,uturoa,-16.7333,-151.4333,28.19,87,100,14.29,PF,1707273392
254,port saint john's,-31.6229,29.5448,22.63,83,78,1.75,ZA,1707273392
255,belmonte,-15.8631,-38.8828,25.69,85,81,1.75,BR,1707273392
256,kone,-21.0595,164.8658,29.85,66,100,3.87,NC,1707273392
257,christchurch,-43.5333,172.6333,26.29,60,68,7.72,NZ,1707273174
258,suva,-18.1416,178.4415,29.71,70,75,3.6,FJ,1707273392
259,puerto aysen,-45.4,-72.7,8.31,96,77,3.93,CL,1707273392
260,sombrerete,23.6333,-103.65,13.5,17,12,3.21,MX,1707273392
261,nadym,65.5333,72.5167,-15.69,98,96,3.89,RU,1707273392
262,aljezur,37.3191,-8.8033,14.6,95,100,2.16,PT,1707273392
263,maceio,-9.6658,-35.7353,26.69,94,40,1.54,BR,1707273365
264,al kharijah,25.4514,30.5464,10.77,64,2,3.62,EG,1707273393
265,crane,31.3974,-102.3501,13.82,48,100,10.17,US,1707273393
266,dehui,44.5333,125.7,-11.51,79,6,2.34,CN,1707273393
267,ola,59.5833,151.2833,-16.59,79,97,3.15,RU,1707273393
268,zyryanovsk,49.7386,84.2719,-19.91,97,85,0.8,KZ,1707273393
269,minot air force base,48.4209,-101.3391,1.1,90,100,3.09,US,1707273393
270,port alfred,-33.5906,26.891,21.77,91,100,3.13,ZA,1707273393
271,gundlupet,11.8,76.6833,22.08,53,4,1.41,IN,1707273393
272,saint-francois,46.4154,3.9054,7.03,83,100,2.57,FR,1707273249
273,yuzhno-kurilsk,44.0306,145.8556,-5.9,63,18,2.87,RU,1707273394
274,tazovsky,67.4667,78.7,-20.51,100,94,2.86,RU,1707273394
275,katsuren-haebaru,26.3369,127.8719,21.43,72,75,2.57,JP,1707273394
276,salta,-24.7859,-65.4117,21.99,87,75,1.03,AR,1707273353
277,kavaratti,10.5669,72.642,27.99,72,32,3.89,IN,1707273194
278,tucurui,-3.7661,-49.6725,23.73,93,58,1.06,BR,1707273394
279,kirakira,-10.4544,161.9205,29.81,73,69,5.67,SB,1707273233
280,st. john's,47.5649,-52.7093,0.08,92,100,12.96,CA,1707273394
281,curup,-3.4667,102.5333,26.98,63,95,1.11,ID,1707273394
282,yong peng,2.0136,103.0659,29.62,66,100,1.98,MY,1707273394
283,vorkuta,67.5,64.0,-26.76,99,68,2.35,RU,1707273394
284,phalaborwa,-23.943,31.1411,24.6,82,0,1.38,ZA,1707273394
285,newman,37.3138,-121.0208,11.19,87,100,0.89,US,1707273395
286,baruun-urt,46.6806,113.2792,-19.55,90,9,3.75,MN,1707273395
287,bengkulu,-3.8004,102.2655,28.48,68,66,1.04,ID,1707273395
288,shimoda,34.6667,138.95,8.2,72,96,3.5,JP,1707273395
289,helong,42.5397,128.9972,-3.28,38,0,1.02,CN,1707273395
290,fortuna,40.5982,-124.1573,9.81,91,40,0.0,US,1707273396
291,douentza,14.9951,-2.9517,20.12,11,28,2.48,ML,1707273396
292,flin flon,54.7682,-101.865,-14.9,96,86,3.0,CA,1707273396
293,tsiombe,-25.3,45.4833,22.35,92,5,1.53,MG,1707273397
294,mungwi,-10.1732,31.3694,16.65,91,100,1.05,ZM,1707273397
295,saudarkrokur,65.7461,-19.6394,-4.11,77,67,3.48,IS,1707273397
296,paramonga,-10.6667,-77.8333,24.72,82,35,3.41,PE,1707273397
297,emerald,-23.5333,148.1667,34.08,51,34,4.95,AU,1707273397
298,alasehir,38.3508,28.5172,10.27,63,23,1.65,TR,1707273397
299,rosetta,31.4044,30.4164,14.95,81,7,2.67,EG,1707273397
300,kiruna,67.8557,20.2251,-22.49,77,55,3.09,SE,1707273397
301,sovetskaya,44.7769,41.1722,6.79,70,100,5.64,RU,1707273397
302,daru,-9.0763,143.2092,31.18,63,100,1.77,PG,1707273397
303,kataba,13.9833,44.3833,14.82,77,61,0.72,YE,1707273397
304,zaozersk,69.4005,32.4476,-21.28,98,99,2.73,RU,1707273398
305,swift current,50.2834,-107.8014,-0.55,100,100,7.2,CA,1707273398
306,luena,-11.7833,19.9167,17.1,100,0,1.03,AO,1707273398
307,as sulayyil,20.4607,45.5779,18.14,61,79,5.35,SA,1707273398
308,morrope,-6.5417,-80.0111,26.06,66,41,6.22,PE,1707273399
309,howrah,22.5892,88.3103,19.0,88,40,4.12,IN,1707273399
310,n'zeto,-7.2312,12.8666,25.73,84,100,2.58,AO,1707273399
311,treinta y tres,-33.2333,-54.3833,19.81,83,0,4.33,UY,1707273399
312,novaya igirma,57.1334,103.9112,-11.08,93,100,2.15,RU,1707273399
313,piacabucu,-10.4056,-36.4344,25.94,85,94,2.88,BR,1707273399
314,brisas barra de suchiate,14.55,-92.2167,26.1,74,75,0.81,MX,1707273399
315,horta,38.5333,-28.6333,17.23,91,86,9.39,PT,1707273399
316,saint-philippe,-21.3585,55.7679,23.77,82,91,2.29,RE,1707273336
317,bon air,37.5249,-77.5578,-0.08,66,0,0.0,US,1707273399
318,nizhneangarsk,55.7833,109.55,-16.67,95,100,1.79,RU,1707273400
319,maun,-19.9833,23.4167,21.98,78,20,1.03,BW,1707273400
320,odienne,9.51,-7.5692,22.74,20,5,1.17,CI,1707273400
321,korla,41.7597,86.1469,-4.41,72,86,0.7,CN,1707273400
322,sao felix do xingu,-6.6447,-51.995,22.55,98,86,0.8,BR,1707273400
323,revda,56.801,59.9303,-3.68,95,100,5.15,RU,1707273400
324,al muwayh,22.4333,41.7583,12.9,25,39,5.5,SA,1707273400
325,holualoa,19.6228,-155.9522,24.91,60,100,5.14,US,1707273240
326,timimoun,29.2639,0.231,9.21,43,0,2.06,DZ,1707273400
327,buy,58.4786,41.53,-31.01,100,100,1.31,RU,1707273400
328,east ballina,-28.8667,153.5833,27.67,81,39,9.23,AU,1707273400
329,malinyi,-8.9333,36.1333,21.84,98,80,0.21,TZ,1707273401
330,harper,4.375,-7.7169,26.62,84,72,2.13,LR,1707273159
331,alamosa,37.4695,-105.87,0.99,93,100,2.06,US,1707273401
332,bull savanna,17.8868,-77.5902,20.13,75,30,5.22,JM,1707273401
333,novodvinsk,64.4165,40.8122,-25.12,99,79,0.38,RU,1707273401
334,el alto,-4.2714,-81.2147,24.81,79,81,7.06,PE,1707273401
335,tulun,54.5611,100.5792,-15.85,95,88,1.78,RU,1707273401
336,ostersund,63.1792,14.6357,-10.75,92,98,2.06,SE,1707273401
337,iskateley,67.6803,53.1512,-24.99,97,100,1.79,RU,1707273401
